,CODGEO,LIBGEO,NBMENFISC16,NBPERSMENFISC16,MED16,PIMP16,TP6016,TP60AGE116,TP60AGE216,TP60AGE316,TP60AGE416,TP60AGE516,TP60AGE616,TP60TOL116,TP60TOL216,PACT16,PTSA16,PCHO16,PBEN16,PPEN16,PPAT16,PPSOC16,PPFAM16,PPMINI16,PPLOGT16,PIMPOT16,D116,D916,RD16
5231,16038,Benest,157,301.5,16705,,,,,,,,,,,,,,,,,,,,,,,,
5232,16039,Bernac,201,473,19496.666666666664,,,,,,,,,,,,,,,,,,,,,,,,
5233,16040,Berneuil,127,282.5,20116.666666666668,,,,,,,,,,,,,,,,,,,,,,,,
5234,16041,Bessac,58,107,17250,,,,,,,,,,,,,,,,,,,,,,,,
5235,16042,Bessé,63,131,19338.666666666668,,,,,,,,,,,,,,,,,,,,,,,,
5236,16044,Bioussac,96,206,18491.90476190476,,,,,,,,,,,,,,,,,,,,,,,,
5237,16045,Birac,132,352.5,21770.5,,,,,,,,,,,,,,,,,,,,,,,,
5238,16046,Coteaux-du-Blanzacais,469,1043,18122.666666666664,,,,,,,,,,,,,,,,,,,,,,,,
5239,16047,Blanzaguet-Saint-Cybard,114,279,18073.888888888887,,,,,,,,,,,,,,,,,,,,,,,,
5240,16048,Boisbreteau,58,119.5,14467.391304347828,,,,,,,,,,,,,,,,,,,,,,,,
5241,16049,Bonnes,155,326.5,17922,,,,,,,,,,,,,,,,,,,,,,,,
5242,16050,Bonneuil,110,260.5,21437.6,,,,,,,,,,,,,,,,,,,,,,,,
5243,16052,Bors (Canton de Tude-et-Lavalette),114,254,18721,,,,,,,,,,,,,,,,,,,,,,,,
5244,16053,Bors (Canton de Charente-Sud),52,119.5,18741.33333333333,,,,,,,,,,,,,,,,,,,,,,,,
5245,16054,Le Bouchage,80,165,15448,,,,,,,,,,,,,,,,,,,,,,,,
5246,16055,Bouëx,370,881,20396.214285714286,,,,,,,,,,,,,,,,,,,,,,,,
5247,16056,Bourg-Charente,340,800,23140,,,,,,,,,,,,,,,,,,,,,,,,
5248,16057,Bouteville,144,339,21339,,,,,,,,,,,,,,,,,,,,,,,,
5249,16058,Boutiers-Saint-Trojan,621,1468.5,23839.33333333333,,,,,,,,,,,,,,,,,,,,,,,,
5250,16059,Brettes,68,164.5,14163,,,,,,,,,,,,,,,,,,,,,,,,
5251,16060,Bréville,197,476,20305.23076923077,,,,,,,,,,,,,,,,,,,,,,,,
5252,16061,Brie,1512,3863.5,21306.11111111111,55,7,,,,,,,7,,78.1,69.9,3.5,4.7,26.7,6.2,3.7,2,1,0.7,-14.7,13868.571428571428,31996.8,2.3071446229913475
5253,16062,Brie-sous-Barbezieux,48,119,19866.666666666668,,,,,,,,,,,,,,,,,,,,,,,,
5254,16063,Brie-sous-Chalais,74,158,19440.166666666664,,,,,,,,,,,,,,,,,,,,,,,,
5255,16064,Brigueuil,452,1005.5,18580.666666666668,,,,,,,,,,,,,,,,,,,,,,,,
5256,16065,Brillac,256,562,15061.333333333334,,,,,,,,,,,,,,,,,,,,,,,,
5257,16066,Brossac,226,448.5,16083,,,,,,,,,,,,,,,,,,,,,,,,
5258,16067,Bunzac,192,459.5,19166.4,,,,,,,,,,,,,,,,,,,,,,,,
5259,16068,Cellefrouin,248,553.5,17569.52380952381,,,,,,,,,,,,,,,,,,,,,,,,
5260,16069,Cellettes,175,390.5,18244,,,,,,,,,,,,,,,,,,,,,,,,
5261,16070,Chabanais,791,1528,18845.33333333333,,,,,,,,,,,,,,,,,,,,,,,,
5262,16071,Chabrac,252,566,18695,,,,,,,,,,,,,,,,,,,,,,,,
5263,16072,Chadurie,195,489.5,19177.222222222223,,,,,,,,,,,,,,,,,,,,,,,,
5264,16073,Chalais,842,1650,16911,,,,,,,,,,,,,,,,,,,,,,,,
5265,16074,Challignac,128,319.5,19713.68421052632,,,,,,,,,,,,,,,,,,,,,,,,
5266,16075,Champagne-Vigny,91,234.5,20398.666666666668,,,,,,,,,,,,,,,,,,,,,,,,
